TimeOfStop,SubAgency,Description,VehicleType,ViolationType,Race,Gender,ArrestType
10,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
23,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
11,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
8,4th district Wheaton,PLATE VIOLATION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
7,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
22,3rd district Silver Spring,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
22,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
21,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
7,4th district Wheaton,MINOR INFRACTION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
14,4th district Wheaton,ACCIDENT RELATED,28 - Other,Citation,BLACK,M,A - Marked Patrol
10,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
1,2nd district Bethesda,RECKLESS DRIVING,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
13,5th district Germantown,DISOBEY TRAFFIC CONTROL,02 - Automobile,Warning,BLACK,F,A - Marked Patrol
20,6th district Gaithersburg / Montgomery Village,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Warning,ASIAN,F,A - Marked Patrol
21,6th district Gaithersburg / Montgomery Village,DISOBEY TRAFFIC CONTROL,05 - Light Duty Truck,Warning,BLACK,F,A - Marked Patrol
23,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
0,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
21,5th district Germantown,SPEEDING,06 - Heavy Duty Truck,Citation,WHITE,M,A - Marked Patrol
1,1st district Rockville,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,F,B - Unmarked Patrol
14,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,F,B - Unmarked Patrol
13,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
8,1st district Rockville,SPEEDING,02 - Automobile,Citation,WHITE,M,Q - Marked Laser
2,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
17,6th district Gaithersburg / Montgomery Village,SPEEDING,02 - Automobile,Warning,WHITE,F,B - Unmarked Patrol
13,1st district Rockville,LEARNING DRIVER WITHOUT SUPERVISION,02 - Automobile,Citation,ASIAN,M,A - Marked Patrol
5,Headquarters and Special Operations,SPEEDING,02 - Automobile,Warning,WHITE,F,B - Unmarked Patrol
21,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
15,6th district Gaithersburg / Montgomery Village,PHONE RELATED,02 - Automobile,Warning,WHITE,F,A - Marked Patrol
6,6th district Gaithersburg / Montgomery Village,RECKLESS DRIVING,02 - Automobile,Warning,ASIAN,F,A - Marked Patrol
21,Headquarters and Special Operations,RECKLESS DRIVING,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
15,5th district Germantown,DISOBEY TRAFFIC CONTROL,02 - Automobile,Warning,WHITE,M,A - Marked Patrol
19,4th district Wheaton,MINOR INFRACTION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
4,3rd district Silver Spring,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
9,6th district Gaithersburg / Montgomery Village,SPEEDING,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
13,5th district Germantown,RECKLESS DRIVING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
20,4th district Wheaton,LEARNING DRIVER WITHOUT SUPERVISION,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
22,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,Q - Marked Laser
0,4th district Wheaton,ACCIDENT RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
9,5th district Germantown,MINOR INFRACTION,02 - Automobile,Warning,WHITE,M,A - Marked Patrol
14,5th district Germantown,DISOBEY TRAFFIC CONTROL,02 - Automobile,Warning,WHITE,M,A - Marked Patrol
15,6th district Gaithersburg / Montgomery Village,RECKLESS DRIVING,02 - Automobile,Warning,HISPANIC,M,B - Unmarked Patrol
15,6th district Gaithersburg / Montgomery Village,DISOBEY TRAFFIC CONTROL,02 - Automobile,Warning,HISPANIC,M,B - Unmarked Patrol
15,6th district Gaithersburg / Montgomery Village,ACCIDENT RELATED,02 - Automobile,Warning,HISPANIC,M,B - Unmarked Patrol
15,6th district Gaithersburg / Montgomery Village,ACCIDENT RELATED,02 - Automobile,Warning,HISPANIC,M,B - Unmarked Patrol
2,Headquarters and Special Operations,LEARNING DRIVER WITHOUT SUPERVISION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
12,1st district Rockville,PLATE VIOLATION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
22,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
19,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
3,6th district Gaithersburg / Montgomery Village,ELUDE POLICE,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
8,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
15,6th district Gaithersburg / Montgomery Village,ACCIDENT RELATED,02 - Automobile,Warning,HISPANIC,M,B - Unmarked Patrol
13,1st district Rockville,MINOR INFRACTION,02 - Automobile,Warning,WHITE,M,A - Marked Patrol
14,1st district Rockville,MINOR INFRACTION,02 - Automobile,Warning,ASIAN,F,A - Marked Patrol
15,4th district Wheaton,PAPERWORK RELATED,06 - Heavy Duty Truck,Warning,HISPANIC,M,A - Marked Patrol
23,Headquarters and Special Operations,MINOR INFRACTION,02 - Automobile,Citation,ASIAN,F,A - Marked Patrol
3,6th district Gaithersburg / Montgomery Village,SPEEDING,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
18,3rd district Silver Spring,PLATE VIOLATION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
0,6th district Gaithersburg / Montgomery Village,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
12,4th district Wheaton,RECKLESS DRIVING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
22,3rd district Silver Spring,IMPAIRED HEARING,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
22,6th district Gaithersburg / Montgomery Village,PLATE VIOLATION,02 - Automobile,Citation,OTHER,M,A - Marked Patrol
23,3rd district Silver Spring,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
15,4th district Wheaton,MINOR INFRACTION,06 - Heavy Duty Truck,Warning,HISPANIC,M,A - Marked Patrol
15,4th district Wheaton,OTHER,06 - Heavy Duty Truck,Warning,HISPANIC,M,A - Marked Patrol
16,4th district Wheaton,OTHER,06 - Heavy Duty Truck,Warning,HISPANIC,M,A - Marked Patrol
18,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,28 - Other,Citation,HISPANIC,M,A - Marked Patrol
17,4th district Wheaton,PHONE RELATED,02 - Automobile,Warning,WHITE,M,A - Marked Patrol
17,4th district Wheaton,PHONE RELATED,02 - Automobile,Warning,WHITE,F,A - Marked Patrol
17,4th district Wheaton,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Warning,WHITE,F,A - Marked Patrol
15,1st district Rockville,PLATE VIOLATION,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
15,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
6,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
16,2nd district Bethesda,PLATE VIOLATION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
9,4th district Wheaton,PLATE VIOLATION,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
7,5th district Germantown,MINOR INFRACTION,02 - Automobile,Citation,ASIAN,F,A - Marked Patrol
14,Headquarters and Special Operations,SPEEDING,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
17,4th district Wheaton,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Warning,HISPANIC,M,A - Marked Patrol
18,4th district Wheaton,PHONE RELATED,02 - Automobile,Warning,BLACK,F,A - Marked Patrol
10,5th district Germantown,SPEEDING,02 - Automobile,Warning,WHITE,M,B - Unmarked Patrol
15,2nd district Bethesda,PLATE VIOLATION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
17,2nd district Bethesda,PLATE VIOLATION,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
15,4th district Wheaton,MINOR INFRACTION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
18,2nd district Bethesda,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
14,2nd district Bethesda,SPEEDING,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
0,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
17,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
2,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
22,6th district Gaithersburg / Montgomery Village,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Warning,HISPANIC,M,A - Marked Patrol
22,6th district Gaithersburg / Montgomery Village,DISOBEY TRAFFIC CONTROL,02 - Automobile,Warning,BLACK,M,A - Marked Patrol
22,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Warning,BLACK,M,A - Marked Patrol
21,5th district Germantown,SPEEDING,02 - Automobile,Warning,OTHER,M,A - Marked Patrol
16,1st district Rockville,MINOR INFRACTION,02 - Automobile,Citation,ASIAN,F,A - Marked Patrol
15,5th district Germantown,MINOR INFRACTION,04 - Limousine,Citation,WHITE,F,A - Marked Patrol
14,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
14,3rd district Silver Spring,PLATE VIOLATION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
10,3rd district Silver Spring,UNAUTHORIZED PERSON DRIVING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
16,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
23,3rd district Silver Spring,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
5,Headquarters and Special Operations,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
11,3rd district Silver Spring,PLATE VIOLATION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
22,5th district Germantown,SPEEDING,02 - Automobile,Warning,HISPANIC,F,A - Marked Patrol
22,5th district Germantown,SPEEDING,02 - Automobile,Warning,WHITE,M,A - Marked Patrol
12,6th district Gaithersburg / Montgomery Village,SPEEDING,02 - Automobile,Warning,OTHER,F,Q - Marked Laser
12,6th district Gaithersburg / Montgomery Village,DISOBEY TRAFFIC CONTROL,05 - Light Duty Truck,Warning,OTHER,F,A - Marked Patrol
16,5th district Germantown,PAPERWORK RELATED,06 - Heavy Duty Truck,Warning,HISPANIC,M,A - Marked Patrol
15,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
16,5th district Germantown,MINOR INFRACTION,06 - Heavy Duty Truck,Warning,HISPANIC,M,A - Marked Patrol
14,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
2,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
20,4th district Wheaton,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
0,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
18,3rd district Silver Spring,LEARNING DRIVER WITHOUT SUPERVISION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
3,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
21,4th district Wheaton,RECKLESS DRIVING,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
16,1st district Rockville,PEDESTRIAN INFRACTION,29 - Unknown,Citation,WHITE,M,B - Unmarked Patrol
17,5th district Germantown,OTHER,06 - Heavy Duty Truck,Warning,HISPANIC,M,A - Marked Patrol
17,5th district Germantown,VEHICLE OR EQUIPMENT VIOLATION,06 - Heavy Duty Truck,Warning,HISPANIC,M,A - Marked Patrol
21,3rd district Silver Spring,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
3,4th district Wheaton,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
0,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
23,5th district Germantown,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
17,4th district Wheaton,MINOR INFRACTION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
1,5th district Germantown,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
1,1st district Rockville,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
1,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
11,2nd district Bethesda,SPEEDING,02 - Automobile,Citation,WHITE,F,Q - Marked Laser
22,5th district Germantown,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
11,2nd district Bethesda,SPEEDING,02 - Automobile,Citation,ASIAN,M,Q - Marked Laser
17,5th district Germantown,MINOR INFRACTION,06 - Heavy Duty Truck,Warning,HISPANIC,M,A - Marked Patrol
7,1st district Rockville,DISOBEY TRAFFIC CONTROL,02 - Automobile,Warning,HISPANIC,F,A - Marked Patrol
12,6th district Gaithersburg / Montgomery Village,OTHER,02 - Automobile,Warning,BLACK,M,A - Marked Patrol
7,2nd district Bethesda,DISOBEY TRAFFIC CONTROL,02 - Automobile,Warning,WHITE,M,A - Marked Patrol
7,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Warning,WHITE,M,A - Marked Patrol
7,2nd district Bethesda,DISOBEY TRAFFIC CONTROL,02 - Automobile,Warning,HISPANIC,F,A - Marked Patrol
8,2nd district Bethesda,DISOBEY TRAFFIC CONTROL,02 - Automobile,Warning,HISPANIC,F,A - Marked Patrol
23,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
21,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
5,4th district Wheaton,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
3,5th district Germantown,MINOR INFRACTION,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
16,5th district Germantown,MINOR INFRACTION,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
0,5th district Germantown,SPEEDING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
0,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
2,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Warning,BLACK,M,A - Marked Patrol
2,5th district Germantown,MINOR INFRACTION,02 - Automobile,Citation,ASIAN,M,A - Marked Patrol
22,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,19 - Moped,Citation,WHITE,M,A - Marked Patrol
10,6th district Gaithersburg / Montgomery Village,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
2,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Warning,BLACK,M,A - Marked Patrol
16,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
5,1st district Rockville,SPEEDING,02 - Automobile,Warning,WHITE,F,A - Marked Patrol
5,1st district Rockville,PLATE VIOLATION,02 - Automobile,Warning,WHITE,F,A - Marked Patrol
22,4th district Wheaton,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
23,2nd district Bethesda,ELUDE POLICE,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
3,6th district Gaithersburg / Montgomery Village,LEARNING DRIVER WITHOUT SUPERVISION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
23,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
5,1st district Rockville,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Warning,WHITE,F,A - Marked Patrol
21,1st district Rockville,PLATE VIOLATION,02 - Automobile,Warning,HISPANIC,M,A - Marked Patrol
21,1st district Rockville,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Warning,HISPANIC,M,A - Marked Patrol
21,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Warning,HISPANIC,M,A - Marked Patrol
17,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
0,1st district Rockville,MINOR INFRACTION,06 - Heavy Duty Truck,Warning,HISPANIC,M,A - Marked Patrol
8,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
0,1st district Rockville,MINOR INFRACTION,06 - Heavy Duty Truck,Warning,HISPANIC,M,A - Marked Patrol
0,1st district Rockville,DISOBEY TRAFFIC CONTROL,06 - Heavy Duty Truck,Warning,HISPANIC,M,A - Marked Patrol
1,1st district Rockville,MINOR INFRACTION,02 - Automobile,Warning,HISPANIC,F,A - Marked Patrol
17,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
7,4th district Wheaton,SPEEDING,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
0,1st district Rockville,RECKLESS DRIVING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
16,2nd district Bethesda,MINOR INFRACTION,05 - Light Duty Truck,Citation,WHITE,F,A - Marked Patrol
1,3rd district Silver Spring,NOISE RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
1,3rd district Silver Spring,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
1,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
2,5th district Germantown,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
1,1st district Rockville,MINOR INFRACTION,02 - Automobile,Warning,HISPANIC,F,A - Marked Patrol
1,1st district Rockville,DISOBEY TRAFFIC CONTROL,02 - Automobile,Warning,HISPANIC,F,A - Marked Patrol
15,4th district Wheaton,VEHICLE OR EQUIPMENT VIOLATION,05 - Light Duty Truck,Citation,WHITE,M,A - Marked Patrol
1,1st district Rockville,MINOR INFRACTION,05 - Light Duty Truck,Warning,WHITE,M,A - Marked Patrol
1,1st district Rockville,MINOR INFRACTION,05 - Light Duty Truck,Warning,WHITE,M,A - Marked Patrol
13,5th district Germantown,ACCIDENT RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
1,1st district Rockville,DISOBEY TRAFFIC CONTROL,05 - Light Duty Truck,Warning,WHITE,M,A - Marked Patrol
12,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
1,1st district Rockville,LICENSE OR REGISTRATION RELATED,05 - Light Duty Truck,Warning,WHITE,M,A - Marked Patrol
11,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
23,6th district Gaithersburg / Montgomery Village,DRIVING UNINSURED VEHICLE,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
5,3rd district Silver Spring,RECKLESS DRIVING,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
11,Headquarters and Special Operations,PEDESTRIAN INFRACTION,29 - Unknown,Citation,OTHER,F,A - Marked Patrol
18,1st district Rockville,RECKLESS DRIVING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
21,3rd district Silver Spring,RECKLESS DRIVING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
15,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
2,1st district Rockville,MINOR INFRACTION,02 - Automobile,Warning,WHITE,F,A - Marked Patrol
2,1st district Rockville,MINOR INFRACTION,02 - Automobile,Warning,WHITE,F,A - Marked Patrol
2,1st district Rockville,DISOBEY TRAFFIC CONTROL,02 - Automobile,Warning,WHITE,F,A - Marked Patrol
23,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
7,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
10,1st district Rockville,SPEEDING,05 - Light Duty Truck,Warning,WHITE,F,G - Marked Moving Radar (Stationary)
22,6th district Gaithersburg / Montgomery Village,PHONE RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
16,5th district Germantown,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
8,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,06 - Heavy Duty Truck,Citation,WHITE,M,A - Marked Patrol
7,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,05 - Light Duty Truck,Citation,HISPANIC,M,A - Marked Patrol
0,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
14,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,Q - Marked Laser
12,6th district Gaithersburg / Montgomery Village,RECKLESS DRIVING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
19,1st district Rockville,PLATE VIOLATION,05 - Light Duty Truck,Citation,WHITE,F,A - Marked Patrol
2,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Warning,WHITE,F,A - Marked Patrol
8,6th district Gaithersburg / Montgomery Village,SPEEDING,05 - Light Duty Truck,Warning,WHITE,M,Q - Marked Laser
8,6th district Gaithersburg / Montgomery Village,IMPAIRED HEARING,05 - Light Duty Truck,Warning,WHITE,M,Q - Marked Laser
8,6th district Gaithersburg / Montgomery Village,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Warning,WHITE,M,A - Marked Patrol
8,6th district Gaithersburg / Montgomery Village,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Warning,WHITE,M,A - Marked Patrol
12,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
8,6th district Gaithersburg / Montgomery Village,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Warning,WHITE,M,A - Marked Patrol
9,6th district Gaithersburg / Montgomery Village,SPEEDING,03 - Station Wagon,Warning,BLACK,F,Q - Marked Laser
7,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
20,6th district Gaithersburg / Montgomery Village,RECKLESS DRIVING,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
1,6th district Gaithersburg / Montgomery Village,ELUDE POLICE,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
21,6th district Gaithersburg / Montgomery Village,RECKLESS DRIVING,04 - Limousine,Citation,BLACK,M,A - Marked Patrol
22,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
8,2nd district Bethesda,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
2,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,OTHER,M,A - Marked Patrol
13,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
16,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Warning,HISPANIC,F,A - Marked Patrol
23,3rd district Silver Spring,RECKLESS DRIVING,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
16,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Warning,HISPANIC,F,A - Marked Patrol
15,Headquarters and Special Operations,MINOR INFRACTION,05 - Light Duty Truck,Warning,WHITE,F,O - Foot Patrol
16,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
9,1st district Rockville,MINOR INFRACTION,28 - Other,Citation,ASIAN,F,A - Marked Patrol
12,1st district Rockville,MINOR INFRACTION,02 - Automobile,Citation,ASIAN,M,A - Marked Patrol
1,1st district Rockville,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
23,2nd district Bethesda,ELUDE POLICE,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
7,6th district Gaithersburg / Montgomery Village,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
1,1st district Rockville,SPEEDING,02 - Automobile,Citation,HISPANIC,F,Q - Marked Laser
13,2nd district Bethesda,MINOR INFRACTION,02 - Automobile,Citation,OTHER,M,A - Marked Patrol
5,6th district Gaithersburg / Montgomery Village,RECKLESS DRIVING,02 - Automobile,Citation,OTHER,F,A - Marked Patrol
10,4th district Wheaton,SPEEDING,02 - Automobile,Citation,WHITE,M,Q - Marked Laser
21,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,ASIAN,M,E - Marked Stationary Radar
14,2nd district Bethesda,SPEEDING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
18,3rd district Silver Spring,ACCIDENT RELATED,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
12,6th district Gaithersburg / Montgomery Village,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
15,Headquarters and Special Operations,MINOR INFRACTION,02 - Automobile,Warning,WHITE,F,O - Foot Patrol
