TimeOfStop,SubAgency,Description,VehicleType,ViolationType,Race,Gender,ArrestType
9,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
18,3rd district Silver Spring,SPEEDING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
2,3rd district Silver Spring,RECKLESS DRIVING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
16,2nd district Bethesda,MINOR INFRACTION,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
5,4th district Wheaton,MINOR INFRACTION,02 - Automobile,Citation,WHITE,F,B - Unmarked Patrol
0,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
10,4th district Wheaton,PLATE VIOLATION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
0,4th district Wheaton,MINOR INFRACTION,05 - Light Duty Truck,Citation,HISPANIC,M,A - Marked Patrol
23,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
22,6th district Gaithersburg / Montgomery Village,SPEEDING,02 - Automobile,Citation,HISPANIC,M,Q - Marked Laser
10,1st district Rockville,DRIVING UNINSURED VEHICLE,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
10,3rd district Silver Spring,PHONE RELATED,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
22,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,Q - Marked Laser
13,Headquarters and Special Operations,SPEEDING,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
1,1st district Rockville,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
1,1st district Rockville,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
0,4th district Wheaton,ELUDE POLICE,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
17,5th district Germantown,SPEEDING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
20,5th district Germantown,SPEEDING,05 - Light Duty Truck,Citation,WHITE,M,A - Marked Patrol
22,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,ASIAN,M,A - Marked Patrol
13,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,F,Q - Marked Laser
11,5th district Germantown,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
0,4th district Wheaton,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
8,2nd district Bethesda,MINOR INFRACTION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
1,1st district Rockville,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
1,1st district Rockville,RECKLESS DRIVING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
16,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
1,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
10,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,Q - Marked Laser
1,Headquarters and Special Operations,RECKLESS DRIVING,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
1,1st district Rockville,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
15,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
13,3rd district Silver Spring,ACCIDENT RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
1,1st district Rockville,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
9,3rd district Silver Spring,PLATE VIOLATION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
15,2nd district Bethesda,PLATE VIOLATION,02 - Automobile,Citation,NATIVE AMERICAN,M,A - Marked Patrol
0,4th district Wheaton,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
23,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
16,Headquarters and Special Operations,PLATE VIOLATION,02 - Automobile,Citation,WHITE,M,B - Unmarked Patrol
16,5th district Germantown,LICENSE OR REGISTRATION RELATED,05 - Light Duty Truck,Citation,WHITE,M,A - Marked Patrol
17,2nd district Bethesda,PLATE VIOLATION,05 - Light Duty Truck,Citation,WHITE,F,A - Marked Patrol
0,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
10,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
8,5th district Germantown,SPEEDING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
1,1st district Rockville,SPEEDING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
